iata;airport;city;state;lat;lon
ATK;Atqasuk;Atqasuk;AK;7046727611;-1574357361
ATL;William B Hartsfield-Atlanta Intl;Atlanta;GA;3364044444;-8442694444
ATS;Artesia Municipal;Artesia;NM;3285252806;-1044676864
ATW;Outagamie County Regional;Appleton;WI;4425740806;-8851947556
ATY;Watertown Municipal;Watertown;SD;4491398056;-9715471944
AUG;Augusta State;Augusta;ME;4432064972;-6979731806
AUH;Aurora Municipal;Aurora;NE;4089413889;-9799455556
AUK;Alakanuk;Alakanuk;AK;6268004417;-1646599253
AUM;Austin Municipal;Austin;MN;4366499083;-92933385
AUN;Auburn Municipal;Auburn;CA;3895476944;-1210820806
AUO;Auburn-Opelik;Auburn;AL;3261635417;-8543355944
AUS;Austin-Bergstrom International;Austin;TX;3019453278;-9766987194
AUW;Wausau Municipal;Wausau;WI;4492847222;-8962661111
AVC;Mecklenburg-Brunswick Regional;South Hill;VA;3668827778;-7805447222
AVK;Alva Regional;Alva;OK;3677317;-9866994611
AVL;Asheville Regional;Asheville;NC;3543619444;-8254180556
AVO;Avon Park Municipal;Avon Park;FL;27591145;-8152785333
AVP;Wilkes-Barre/Scranton Intl;Wilkes-Barre/Scranton;PA;4133814944;-757242675
AVQ;Marana Northwest Regional;Marana;AZ;3240939028;-1112185086
AVX;Catalina;Avalon;CA;3340494444;-1184158611
AWG;Washington Municipal;Washington;IA;4127610083;-9167344389
AWI;Wainwright;Wainwright;AK;70638;-15999475
AWM;West Memphis Municipal;West Memphis;AR;3513505861;-9023444639
AWO;Arlington Municipal;Arlington;WA;4816074833;-1221590208
AXA;Algona Municipal;Algona;IA;4307791056;-9427199278
AXN;Chandler;Alexandria;MN;4586629833;-9539466806
AXS;Altus Municipal;Altus;OK;3469878194;-993381
AXV;Neil Armstrong;Wapakoneta;OH;4049338889;-8429894444
AXX;Angel Fire;Angel Fire;NM;3642240972;-1052892967
AYS;Waycross-Ware County;Waycross;GA;3124905556;-8239530556
AZC;Colorado City Municipal;Colorado City;AZ;3695994444;-1130138889
AZE;Hazelhurst;Hazelhurst;GA;3188465639;-8264738778
AZO;Kalamazoo County;Kalamazoo;MI;42234875;-855520575
B01;Granville;Granville;NY;4342507111;-7326205306
B08;Silver Springs;Silver Springs;NV;3940324917;-1192518292
B16;Whitford;Weedsport;NY;4308027611;-7653837556
B19;Biddeford Municipal;Biddeford;ME;4346411111;-7047238889
B21;Sugarloaf Regional;Carrabasset;ME;4508616639;-7021617778
BAF;Barnes Municipal;Westfield;MA;4215773111;-7271562028
BAK;Columbus Municipal;Columbus;IN;3926191861;-8589634556
BAM;Battle Mountain;Battle Mountain;NV;4059904583;-1168743358
BAX;Huron County Memorial;Bad Axe;MI;4378091667;-8298566667
BAZ;New Braunfels Municipal;New Braunfels;TX;297045;-9804222222
BBB;Benson Municipal;Benson;MN;453319325;-95650565
BBD;Curtis;Brady;TX;3117816667;-9932463889
BBP;Marlboro County;Bennettsville;SC;3462170861;-7973435944
BBW;Broken Bow Municipal;Broken Bow;NE;4143645056;-9964216861
BCB;Virginia Tech;Blacksburg;VA;3720782361;-8040832778
BCE;Bryce Canyon;Bryce Canyon;UT;3770637111;-1121454725
BCK;Black River Falls Area;Black River Falls;WI;4425073861;-9085528028
BCT;Boca Raton;Boca Raton;FL;2637848667;-8010769667
BCV;Birchwood;Birchwood;AK;6141612444;-14950888
BDE;Baudette International;Baudette;MN;4872741667;-9461030556
BDG;Blanding Muni;Blanding;UT;3758303472;-1094832889
BDL;Bradley International;Windsor Locks;CT;4193887417;-7268322833
BDQ;Morrilton Municipal;Morrilton;AR;3513619528;-9271349722
BDR;Igor I Sikorsky Memorial;Bridgeport;CT;4116348417;-7312617861
BDX;Broadus;Broadus;MT;45433325;-1054172133
BED;Laurence G Hanscom;Bedford;MA;4246995306;-7128903
BEH;Southwest Michigan Regional;Benton Harbor;MI;4212858333;-864285
BET;Bethel;Bethel;AK;6077977639;-1618379975
BFD;Bradford Reg;Bradford;PA;4180306778;-7864012083
BFF;Scotts Bluff County;Scottsbluff;NE;4187402778;-1035956389
BFI;Boeing Field/King County Intl;Seattle;WA;4752998917;-1223019561
BFK;Buffalo Municipal;Buffalo;OK;3686330139;-9961873056
BFL;Meadows;Bakersfield;CA;3543359806;-1190567681
BFM;Mobile Downtown;Mobile;AL;3062646944;-8806799861
BFR;Virgil I Grissom Municipal;Bedford;IN;3884003306;-8644536361
BFW;Silver Bay Municipal;Silver Bay;MN;4724902778;-9141558333
BGD;Hutchinson County;Borger;TX;3570004194;-1013940536
BGE;Decatur County Industrial Airpark;Bainbridge;GA;3097152778;-8463744444
BGF;Winchester Municipal;Winchester;TN;3517753417;-8606616722
BGM;Binghamton Regional;Binghamton;NY;4220848278;-7597961361
