961;1
1612;636
1612;637
1612;638
1612;639
1612;1
1612;640
8512;1
9811;1
10723;1
10723;1005
11144;1
11283;1
12133;1
12907;1005
16608;1
17533;1
22262;130
21756;46
21769;46
24361;116
28459;46
30089;4944
30089;5558
30089;572
36196;1010
39159;116
48626;245
48626;2574
48626;2141
54307;10211
54307;7860
54307;652
54307;525
54307;10212
54307;130
76397;116
77577;130
80626;2857
90773;46
97062;130
99989;116
112467;130
123097;2358
123097;10211
123097;1100
123097;61
123097;16496
123097;16497
123097;46
123097;1
123097;2284
123097;12208
123097;8743
123097;130
123097;10614
125217;116
125217;774
125217;348
125308;465
125308;360
125308;2571
125308;16723
125308;2572
157395;130
163169;6307
175875;283
175875;761
175875;130
189031;46
193546;12329
193546;3105
193546;25127
193546;2233
193546;2865
193546;5131
193546;25128
193546;25129
193546;25130
193546;2850
193546;6546
193546;130
196397;107
197854;116
197854;1343
197854;4475
197854;8330
197854;15859
197854;25297
197854;130
197854;20985
197854;20986
198294;116
198294;2138
198294;25364
199841;116
207490;359
207490;130
211816;3239
211816;116
212916;130
227648;130
228751;9148
228751;46
229350;46
231525;130
250751;116
250146;46
251141;1047
251141;3026
251141;49
251141;1668
251141;394
251141;465
251141;1127
251141;1033
251141;226
251141;283
251141;2432
251141;17187
251141;55
251141;347
251141;231
251141;2514
251141;15597
251141;3126
251141;245
251141;9637
251141;1456
251141;8193
251141;4907
251141;429
251141;2574
251141;803
251141;1136
251141;9578
251141;7610
251141;836
252296;116
254799;46
256974;2517
256974;791
259780;46
259780;1602
259780;7242
276971;310
276976;5405
276976;5506
285269;46
288160;359
288160;1594
288160;434
289632;116
291339;1
291400;359
291400;1127
291400;29686
291400;231
291400;827
291400;29687
291400;29688
291400;245
291400;29689
291400;5547
291400;3522
291400;29690
291400;18791
300494;83
300494;689
300494;236
300494;4820
300494;725
300494;137
300494;10151
303826;2189
303826;490
303826;1644
303826;130
307096;83
307096;1608
307096;3965
307096;3815
307096;231
307096;7540
307096;26657
307096;5879
307096;449
307096;26665
317828;46
325245;797
325245;130
325272;130
348749;398
348749;130
354955;359
354955;130
366541;116
366672;120
366672;130
366865;359
373558;116
378606;359
378606;130
382211;46
383704;456
408927;359
408927;116
408927;14661
408927;6187
408927;14609
408927;14664
408927;472
411955;130
397423;760
399109;130
400977;46
400977;760
400995;130
401091;3316
404007;102
404007;130
405245;359
405245;130
405541;46
405563;130
406304;960
406304;3316
409009;5747
409009;6583
409009;13706
409009;14801
409009;5842
409009;9637
409009;11459
410048;130
410381;7242
410988;46
414413;3333
414413;55
414413;135
414413;1188
414413;569
414413;2873
423874;797
423874;419
429097;46
429097;760
429097;3452
429126;359
429126;130
430017;35216
432492;130
436669;116
436490;46
436490;760
440871;1
440871;130
441081;116
478140;359
478140;116
481115;130
489713;120
490183;130
492490;525
499543;130
504133;46
530507;130
531602;120
531612;120
531613;120
565913;116
573515;4639
573515;393
573515;15600
606651;33482
612958;359
612958;130
616424;44
618839;806
618839;72
618839;1711
618839;2214
618839;2215
618839;186
618839;847
618839;1842
618839;1712
618839;7735
618839;116
618839;5485
618839;7821
618839;4474
618839;11837
618839;382
618839;5175
618839;4781
618839;7736
618839;16253
618839;2244
618839;10598
618839;32616
618839;951
618839;7953
618839;1567
618839;1834
618839;15374
618839;1176
618839;16815
618839;438
618839;12012
618839;2145
618839;11991
618839;2402
618839;335
618839;3093
618839;2146
618839;981
618839;16405
618839;7840
618839;39695
618839;7065
618839;6879
618839;130
618839;7243
618839;20351
618839;11432
618839;929
618839;5091
618839;1354
618992;12334
618992;16805
618992;359
618992;697
618992;958
618992;130
635977;1011
635977;3327
635977;7600
635977;1778
635977;6029
635977;7262
635977;10433
639937;116
651934;482
651934;7848
712012;130
712740;1
712744;1
717511;130
719242;130
716363;359
716363;130
716620;83
716620;5729
716620;2272
718348;7449
718348;6072
718348;2472
718348;231
718348;951
718348;5842
718348;8591
718348;37911
718348;965
718348;1089
718410;46
718410;760
718410;5411
719912;359
720654;46
721208;26657
721208;449
721208;65
721208;1734
721208;26665
721418;46
722006;116
722126;46
724258;12566
724300;46
725389;46
725389;760
726210;627
726210;5872
726210;3337
726210;394
726210;6065
726210;2955
726210;3108
726210;2366
726210;770
726210;6921
726210;61
726210;774
726210;2378
726210;347
726210;5105
726210;4480
726210;1652
726210;1173
726210;2392
726210;137
726210;1
726210;20954
726210;1078
726210;22903
726210;3282
726210;1802
726210;398
726210;32966
726210;11992
726210;36835
726210;130
726210;3454
726893;359
726893;130
727095;46
727611;46
729088;116
729179;46
729179;760
731292;130
731506;8471
731506;636
731506;637
731506;359
731506;83
731506;867
731506;231
731506;13851
731506;45088
731506;26652
731506;245
731506;15533
731506;32682
731506;761
731506;317
731506;1799
731506;740
731506;4800
731506;45089
731506;65
731506;8403
733937;116
733937;2350
733937;21946
733937;5933
733937;45158
736261;116
736617;116
747350;116
751431;359
751431;8188
751431;130
755099;1011
755099;365
755099;359
755099;32264
755099;398
755645;1
756604;359
776601;120
776601;116
776601;10083
776617;120
776624;120
776634;120
776647;120
776647;46568
776652;120
776653;120
776653;2571
776654;359
776984;46
778356;46
778356;419
785308;9780
785308;1022
785308;8743
785308;31450
785612;1
788756;808
788756;31450
788763;1049
789626;359
789626;130
790360;16805
790360;4319
790360;14154
806425;479
806425;491
806425;355
806425;348
806425;22133
806425;48162
817586;25128
818380;359
818380;130
830180;130
