31;1633114;0;null;45;1
33;2144109;33;null;12;1
33;1584953;1;null;0;1
734;1875412;768;null;4;1
882;1837053;1106;null;0;1
1135;1999660;1;null;0;1
1135;2465724;1;null;0;1
1160;1924149;1568;null;0;1
1160;2065193;1569;null;16;1
1185;1999419;0;null;22;1
1188;25376;50;null;0;1
1188;252192;0;(1997);0;1
1212;1668381;0;null;44;1
1213;2105773;1591;(as Josep Abadal);12;1
1213;917466;1620;null;0;1
1220;2215273;1627;null;0;1
1222;1803736;1629;null;23;1
1272;2128381;1710;null;36;1
1308;1991219;1742;null;0;1
1332;2065634;0;null;0;1
1431;2048169;0;null;3;1
1436;1810959;1904;null;24;1
1472;618992;2047;null;8;1
1487;1927606;0;null;17;1
1758;1928326;2524;null;21;1
2103;2201194;3626;(as Thomas Abbot);17;1
2142;1999252;994;null;0;1
2150;1955970;3706;null;22;1
2221;1633114;0;null;30;1
2379;2204103;3979;null;15;1
2526;1999393;4124;null;19;1
2526;276978;590;null;8;1
3031;818380;1636;(1992);0;1
3104;1994333;5095;null;0;1
3108;2089958;5128;null;19;1
3135;404007;5267;null;0;1
3259;1652406;5620;null;0;1
3259;1659521;5621;null;0;1
3336;1810505;0;null;0;1
3367;1677784;5926;null;21;1
3371;1627794;0;null;0;1
3371;2048628;0;null;6;1
3371;409009;5931;(1992-1993);2;1
3371;718348;5932;(voice);11;1
3371;731292;0;null;0;1
3442;1999393;5546;(as Chris Rooney);20;1
3450;1749114;0;null;0;1
3450;1992335;6087;null;16;1
3450;12907;50;(1987-1988);0;1
3450;287587;50;(1989);1;1
3450;423993;50;(1993);1;1
3450;491157;50;(1991);2;1
3450;1461200;0;null;0;1
3452;1903650;6092;null;30;1
4001;2385622;7355;null;23;1
4150;1815975;7558;null;0;1
4202;1986339;7736;null;6;1
4255;1669508;7946;null;13;1
4352;2349614;8222;null;5;1
4852;1996467;8924;null;0;1
4892;1789131;0;null;42;1
4931;1813568;9138;null;0;1
4954;2467301;0;null;0;1
4958;1998681;9251;(voice);2;1
4958;785790;9251;(voice);2;1
5014;1992268;9366;null;2;1
5156;1901318;3774;null;7;1
5175;1901318;9651;null;11;1
5417;1986339;0;null;0;1
5424;2421624;0;null;0;1
5445;1816153;646;(as Joao Acayabe);51;1
5508;1752243;0;null;19;1
5508;193753;50;(2001);0;1
5508;968927;10052;(1994-1996);0;1
5509;1809997;10055;(uncredited);0;1
5509;1930021;10058;null;0;1
5509;1930025;10058;null;0;1
5509;1930026;10058;null;0;1
5509;1930028;10058;null;0;1
5509;1937346;10058;null;0;1
5509;1987526;10058;null;0;1
5509;1994850;10058;null;0;1
5509;1996522;10058;null;0;1
5509;2003513;0;null;0;1
5509;2184400;10058;null;0;1
5509;2219246;10058;null;0;1
5509;2253113;0;(voice);0;1
5509;2273850;10058;null;0;1
5509;409050;10064;(voice);0;1
5509;721208;10066;(voice: Spanish version);1;1
5606;2008482;10162;null;24;1
5606;726210;10176;null;29;1
5662;1812991;0;null;18;1
5662;2244680;0;null;0;1
5663;25943;0;null;0;1
5663;363693;10319;null;0;1
5679;1903650;10331;(as David Acedo);48;1
5682;423870;50;null;0;1
5682;1432202;0;null;0;1
5698;2452764;0;null;0;1
5700;1712360;0;null;0;1
5700;1776747;10338;null;5;1
