90773;1811428;6
125308;1811840;6
125308;2032575;6
125308;2033484;6
125308;2046499;6
175875;175888;1
175888;175875;2
289632;408997;2
289632;1659843;2
289632;1642178;6
291400;409050;2
291400;1625502;6
291400;2003205;6
307096;721208;2
408927;1465730;13
408927;1792890;13
408997;289632;1
408997;1659843;1
409050;291400;1
408997;289632;1
408997;1659843;1
409050;291400;1
408997;289632;1
408997;1659843;1
409050;291400;1
478140;2032477;6
543201;543223;3
543223;543201;4
576230;1811840;6
717511;1987549;13
716238;2465356;11
716620;788450;12
718410;1109618;1
718410;1109631;1
718410;1109647;1
721208;307096;1
726893;1996535;13
731506;1545522;2
776725;839146;12
778356;1584273;2
785790;1998681;2
788450;716620;11
790360;2032333;1
839146;776725;11
863572;1992781;10
882989;1632469;6
883280;981815;12
917466;917480;2
917480;917466;1
919288;2091722;10
934831;934911;2
934911;934831;1
980573;980576;2
980573;980578;2
980573;980575;1
980575;980573;2
980575;980576;2
980575;980578;2
980576;980578;2
980576;980573;1
980576;980575;1
980578;980573;1
980578;980575;1
980578;980576;1
981815;883280;11
996724;1066168;2
996724;1066187;2
996724;1066196;2
1005316;2465467;1
1017146;1104303;11
1031279;1816032;8
1066168;996724;1
1066187;996724;1
1066187;1066196;1
1066196;1066187;2
1066196;996724;1
1075733;1992569;5
1104303;1017146;12
1109618;718410;2
1109618;1109647;2
1109618;1109631;1
1109631;718410;2
1109631;1109618;2
1109631;1109647;2
1109647;718410;2
1109647;1109618;1
1109647;1109631;1
1229042;2143821;15
1465730;408927;13
1465730;1792890;13
1467885;1467903;2
1467903;1467885;1
1498615;2082775;10
1545522;731506;1
1584273;778356;1
1592462;1728605;13
1593119;2415962;1
1618920;1812289;6
1619211;2285096;5
1624341;1865755;2
1625502;291400;5
1628686;1814992;9
1632469;882989;5
1635101;2215273;10
1642178;289632;5
1647723;1856676;9
1648807;1815168;10
1648809;1703077;2
1650998;1653813;5
1650998;1710889;5
1652961;2387806;6
1653813;1650998;6
1659843;408997;2
1659843;289632;1
1665381;2108548;9
1665381;2379792;9
1668381;1996495;6
1675802;2105838;10
1693121;1714873;2
1693121;1810173;2
1699548;1923367;2
1703077;1648809;1
1710889;1650998;6
1712352;1814584;6
1714873;1810173;2
1714873;1693121;1
1714873;1714943;13
1714943;1714873;13
1717838;2002156;15
1719945;1903489;6
1719945;1991911;6
1728605;1592462;13
1739434;1826759;6
1763958;2395739;5
1776635;1813579;5
1776635;2205639;5
1776690;1811645;1
1792890;408927;13
1792890;1465730;13
1813469;1813470;2
1813470;1813469;1
1810173;1693121;1
1810173;1714873;1
1810335;2387806;6
1810394;1815050;1
1810394;1986558;1
1810394;1993001;1
1810546;1859640;9
1811266;1996576;5
1811428;1811430;2
1811428;90773;5
1811428;1811814;5
1811428;2405182;5
1811430;1811428;1
1811546;1812768;1
1811645;1776690;2
1811814;1811428;6
1811840;125308;5
1811840;576230;5
1812289;1618920;5
1812768;1811546;2
1812893;2265146;15
1813388;1813389;2
1813389;1813388;1
1813579;1776635;6
1813713;1815310;5
1813811;1814584;6
1814484;2033805;9
1814528;1814529;2
1814529;1814528;1
1814584;1712352;5
1814584;1813811;5
1814584;1955896;5
1814584;1997166;5
1814584;2018952;5
1814962;1828255;1
1814986;2285096;10
1814986;1992370;1
1814992;1628686;10
1815050;1810394;2
1815050;1986558;2
1815050;2022459;2
1815050;1993001;1
1815168;1648807;9
1815310;1813713;6
1815422;1989633;5
1815422;2233175;5
1815667;2218140;10
1816032;1031279;7
1816243;2424174;2
1816253;1987896;3
1816487;1816488;2
1816488;1816487;1
1817595;1993697;6
1819803;2405822;5
1822884;1892099;9
1826759;1739434;5
1826759;2033484;5
1828255;1814962;2
1829743;1829744;1
1829744;1829743;2
1856676;1647723;10
1858631;2455766;1
1859640;1810546;10
1865755;1624341;1
1892099;1822884;10
1903489;1719945;5
1908130;1992318;5
1908130;2144984;5
1908130;2387816;5
1915006;2454604;2
1923367;1699548;1
1944315;2009639;1
1955896;1814584;6
1955928;1955929;3
1955929;1955928;4
1965137;1965138;9
1965137;1965138;1
1965138;1965137;10
1965138;1965137;2
1969146;2384467;6
1969232;2151656;6
1969584;2033633;10
1970048;1989225;1
1984530;2467514;16
1987549;717511;13
1997166;1814584;6
1986345;1996357;1
1986558;1810394;2
1986558;2022459;2
1986558;1815050;1
1986558;1993001;1
1987896;1816253;4
1988619;1996495;6
1989023;2051022;13
1989225;1970048;2
1989633;2091553;2
1989633;2141787;2
1989633;1815422;6
1990599;2384467;6
1991498;2091722;10
1991499;1997420;2
1991499;2003556;2
1991499;2138463;2
1991911;1719945;5
1992318;1908130;6
1992318;2465793;5
1992370;1814986;2
1992569;1075733;6
1992569;2032841;6
1992781;863572;9
1993001;1810394;2
1993001;1815050;2
1993001;1986558;2
1993001;2022459;2
1993697;1817595;5
1994456;2405070;6
1996357;1986345;2
1996495;1668381;5
1996495;1988619;5
1996535;726893;13
1996576;1811266;6
1997420;2003556;2
1997420;2138463;2
1997420;1991499;1
1998681;785790;1
1998780;2009552;1
2000179;2387806;6
2002156;1717838;16
2003205;291400;5
2003345;2003346;2
2003346;2003345;1
2003556;2138463;2
2003556;1991499;1
2003556;1997420;1
2009552;1998780;2
2009639;1944315;2
2018952;1814584;6
2022146;2039542;5
2022459;1815050;1
2022459;1986558;1
2022459;1993001;1
2032333;790360;2
2032477;478140;5
2032520;2452956;4
2032575;125308;5
2032841;1992569;5
2033484;1826759;6
2033484;125308;5
2033633;1969584;9
2033805;1814484;10
2033850;2146284;16
2033850;2146284;1
2033850;2146285;1
2039542;2022146;6
2039616;2235358;6
2046499;2465585;2
2046499;125308;5
2050638;2072069;16
2051022;1989023;13
2072069;2050638;15
2075371;2284718;15
2082775;1498615;9
2091553;1989633;1
2091553;2141787;1
2091722;919288;9
2091722;1991498;9
2091722;2387816;6
2105838;1675802;9
2108548;1665381;10
2129984;2163395;13
2138463;1991499;1
2138463;1997420;1
2138463;2003556;1
2141787;2091553;2
2141787;1989633;1
2143821;1229042;16
2144984;1908130;6
2144984;2465793;6
2146284;2033850;15
2146284;2146285;10
2146284;2033850;2
2146284;2146285;2
2146285;2146284;9
2146285;2033850;2
2146285;2146284;1
2151656;1969232;5
2163395;2129984;13
2180787;2387806;6
2205639;1776635;6
2215273;1635101;9
2218140;1815667;9
2233084;2269996;1
2233175;1815422;6
2235358;2039616;5
2265146;1812893;16
2269996;2233084;2
2284718;2075371;16
2285096;1814986;9
2285096;1619211;6
2379792;1665381;10
2382970;2382971;2
2382970;2382972;2
2382971;2382972;2
2382971;2382970;1
2382972;2382970;1
2382972;2382971;1
2384467;1969146;5
2384467;1990599;5
2387806;1652961;5
2387806;1810335;5
2387806;2000179;5
2387806;2180787;5
2387816;1908130;6
2387816;2091722;5
2395739;1763958;6
2405070;1994456;5
2405182;1811428;6
2405822;1819803;6
2415962;1593119;2
2421622;2421623;2
2421622;2421624;1
2421623;2421622;1
2421623;2421624;1
2421624;2421622;2
2421624;2421623;2
2424174;1816243;1
2452956;2032520;3
2454604;1915006;1
2455766;1858631;2
2465356;716238;12
2465467;1005316;2
2465585;2046499;1
2465793;1992318;6
2465793;2144984;5
2467514;1984530;15
